root@OpenWrt:~# cat /proc/mtd
dev:    size   erasesize  name
mtd0: 00080000 00020000 "0:SBL1"
mtd1: 00080000 00020000 "0:MIBIB"
mtd2: 00040000 00020000 "0:BOOTCONFIG"
mtd3: 00040000 00020000 "0:BOOTCONFIG1"
mtd4: 00100000 00020000 "0:QSEE"
mtd5: 00100000 00020000 "0:QSEE_1"
mtd6: 00040000 00020000 "0:DEVCFG"
mtd7: 00040000 00020000 "0:DEVCFG_1"
mtd8: 00040000 00020000 "0:CDT"
mtd9: 00040000 00020000 "0:CDT_1"
mtd10: 00080000 00020000 "0:APPSBLENV"
mtd11: 00140000 00020000 "0:APPSBL"
mtd12: 00140000 00020000 "0:APPSBL_1"
mtd13: 00100000 00020000 "0:ART"
mtd14: 00080000 00020000 "0:TRAINING"
mtd15: 02800000 00020000 "rootfs"
mtd16: 02800000 00020000 "rootfs_1"
mtd17: 00600000 00020000 "pdt_data"
mtd18: 00600000 00020000 "pdt_data_1"
mtd19: 00100000 00020000 "exp"
mtd20: 01700000 00020000 "plugin"
mtd21: 003c0f64 0001f000 "kernel"
mtd22: 0036b800 0001f000 "wifi_fw"
mtd23: 00004800 0001f000 "bt_fw"
mtd24: 01097000 0001f000 "ubi_rootfs"
mtd25: 006c8000 0001f000 "rootfs_data"
mtd26: 002e8000 0001f000 "pdt_data"
mtd27: 01360000 0001f000 "plugin"
